Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"20 Kinmonth Rd #106, Newton, MA 02468","$998,000",1,1.5,74 days,Condo,The Jeff Groper Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/20-Kinmonth-Rd-02468/unit-106/home/182610439
"20 Kinmonth Rd #203, Newton, MA 02468","$1,048,000",1,1.5,81 days,Condo,The Jeff Groper Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/20-Kinmonth-Rd-02468/unit-203/home/182511802
"115 Windsor Rd, Newton, MA 02468","$1,825,000",5,2.5,89 days,Single Family Residential,Susan Evans, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Waban/115-Windsor-Rd-02468/home/11452153
"12 Owaisa Rd, Newton, MA 02468","$4,649,000",6,5.5,90 days,Single Family Residential,Carol Vaghar, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/12-Owaisa-Rd-02468/home/76480712
"20 Kinmonth Rd Ph 8, Newton, MA 02468","$1,150,000",1,1.5,95 days,Condo,The Jeff Groper Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/20-Kinmonth-Rd-02468/unit-8/home/182308839
"20 Kinmonth Rd Ph 5, Newton, MA 02468","$1,848,000",3,3,95 days,Condo,The Jeff Groper Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Waban/20-Kinmonth-Rd-02468/unit-5/home/182308246
"197 Nehoiden Rd, Newton, MA 02468","$4,250,000",6,6.5,123 days,Single Family Residential,Chris Kostopoulos Group, • Keller Williams Realty ,https://www.redfin.com/MA/Waban/197-Nehoiden-Rd-02468/home/11456543
"1192 Beacon Unit A, Newton, MA 02468","$2,295,000",3,4.5,83 days,Townhouse,Kathryn Alphas Richlen, • Coldwell Banker Realty - Weston ,https://www.redfin.com/MA/Waban/1192-Beacon-St-02468/unit-A/home/39890785
"28 Winchester Dr, Lexington, MA 02420","$3,695,000",6,6.5,2 days,Single Family Residential,Kim Covino & Co. Team, • Compass ,https://www.redfin.com/MA/Lexington/28-Winchester-Dr-02420/home/8563324
"39 Somerset Rd, Lexington, MA 02420","$1,895,000",3,2,10 days,Single Family Residential,Andrea Jackson, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/39-Somerset-Rd-02420/home/8570216
